task_id,dataset_id,dataset_name,target_column,n_samples,n_features,n_classes
3,3,kr-vs-kp,class,3196.0,37.0,2.0
6,6,letter,class,20000.0,17.0,26.0
11,11,balance-scale,class,625.0,5.0,3.0
12,12,mfeat-factors,class,2000.0,217.0,10.0
14,14,mfeat-fourier,class,2000.0,77.0,10.0
15,15,breast-w,Class,699.0,10.0,2.0
16,16,mfeat-karhunen,class,2000.0,65.0,10.0
18,18,mfeat-morphological,class,2000.0,7.0,10.0
22,22,mfeat-zernike,class,2000.0,48.0,10.0
23,23,cmc,Contraceptive_method_used,1473.0,10.0,3.0
28,28,optdigits,class,5620.0,65.0,10.0
29,29,credit-approval,class,690.0,16.0,2.0
31,31,credit-g,class,1000.0,21.0,2.0
32,32,pendigits,class,10992.0,17.0,10.0
37,37,diabetes,class,768.0,9.0,2.0
43,44,spambase,class,4601.0,58.0,2.0
45,46,splice,Class,3190.0,61.0,3.0
49,50,tic-tac-toe,Class,958.0,10.0,2.0
53,54,vehicle,Class,846.0,19.0,4.0
219,151,electricity,class,45312.0,9.0,2.0
2074,182,satimage,class,6430.0,37.0,6.0
2079,188,eucalyptus,Utility,736.0,20.0,5.0
3021,38,sick,Class,3772.0,30.0,2.0
3022,307,vowel,Class,990.0,13.0,11.0
3481,300,isolet,class,7797.0,618.0,26.0
3549,458,analcatdata_authorship,Author,841.0,71.0,4.0
3560,469,analcatdata_dmft,Prevention,797.0,5.0,6.0
3902,1049,pc4,c,1458.0,38.0,2.0
3903,1050,pc3,c,1563.0,38.0,2.0
3904,1053,jm1,defects,10885.0,22.0,2.0
3913,1063,kc2,problems,522.0,22.0,2.0
3917,1067,kc1,defects,2109.0,22.0,2.0
3918,1068,pc1,defects,1109.0,22.0,2.0
7592,1590,adult,class,48842.0,15.0,2.0
9910,4134,Bioresponse,target,3751.0,1777.0,2.0
9946,1510,wdbc,Class,569.0,31.0,2.0
9952,1489,phoneme,Class,5404.0,6.0,2.0
9957,1494,qsar-biodeg,Class,1055.0,42.0,2.0
9960,1497,wall-robot-navigation,Class,5456.0,25.0,4.0
9964,1501,semeion,Class,1593.0,257.0,10.0
9971,1480,ilpd,Class,583.0,11.0,2.0
9976,1485,madelon,Class,2600.0,501.0,2.0
9977,1486,nomao,Class,34465.0,119.0,2.0
9978,1487,ozone-level-8hr,Class,2534.0,73.0,2.0
9981,1468,cnae-9,Class,1080.0,857.0,9.0
9985,1475,first-order-theorem-proving,Class,6118.0,52.0,6.0
10093,1462,banknote-authentication,Class,1372.0,5.0,2.0
10101,1464,blood-transfusion-service-center,Class,748.0,5.0,2.0
14952,4534,PhishingWebsites,Result,11055.0,31.0,2.0
14954,6332,cylinder-bands,band_type,540.0,40.0,2.0
14965,1461,bank-marketing,Class,45211.0,17.0,2.0
14969,4538,GesturePhaseSegmentationProcessed,Phase,9873.0,33.0,5.0
14970,1478,har,Class,10299.0,562.0,6.0
125920,23381,dresses-sales,Class,500.0,13.0,2.0
125922,40499,texture,Class,5500.0,41.0,11.0
146195,40668,connect-4,class,67557.0,43.0,3.0
146800,40966,MiceProtein,class,1080.0,82.0,8.0
146817,40982,steel-plates-fault,target,1941.0,28.0,7.0
146819,40994,climate-model-simulation-crashes,outcome,540.0,21.0,2.0
146820,40983,wilt,class,4839.0,6.0,2.0
146821,40975,car,class,1728.0,7.0,4.0
146822,40984,segment,class,2310.0,20.0,7.0
146824,40979,mfeat-pixel,class,2000.0,241.0,10.0
167119,41027,jungle_chess_2pcs_raw_endgame_complete,class,44819.0,7.0,3.0
167120,23517,numerai28.6,attribute_21,96320.0,22.0,2.0
167125,40978,Internet-Advertisements,class,3279.0,1559.0,2.0
167140,40670,dna,class,3186.0,181.0,3.0
167141,40701,churn,class,5000.0,21.0,2.0
