task_id,dataset_id,dataset_name,target_column,model,n_samples,n_features,n_classes,accuracy,balanced_accuracy,f1_score,precision,recall,training_time,status,error,data_source,metrics_complete,numeric_features,categorical_features,missing_percentage
3,3,kr-vs-kp,class,DecisionTree,3196.0,36.0,2.0,0.996875,0.997005988023952,0.9968753973843552,0.9968952922077922,0.996875,0.0281403064727783,success,,openml,True,0,36,0.0
3,3,kr-vs-kp,class,KNN,3196.0,36.0,2.0,0.9390625,0.9381922429650502,0.9389984384151108,0.9394922930483912,0.9390625,0.1827223300933838,success,,openml,True,0,36,0.0
3,3,kr-vs-kp,class,LogisticRegression,3196.0,36.0,2.0,0.971875,0.971958044694924,0.9718785764591952,0.9719011598341416,0.971875,0.0453162193298339,success,,openml,True,0,36,0.0
3,3,kr-vs-kp,class,RandomForest,3196.0,36.0,2.0,0.9890625,0.98897303432351,0.9890617240232018,0.9890657878639588,0.9890625,0.4879164695739746,success,,openml,True,0,36,0.0
3,3,kr-vs-kp,class,SVM,3196.0,36.0,2.0,0.984375,0.9843450354193574,0.984375,0.984375,0.984375,0.8013944625854492,success,,openml,True,0,36,0.0
146800,40966,MiceProtein,class,DecisionTree,1080.0,77.0,8.0,0.8240740740740741,0.8220899470899472,0.8231249204018446,0.8297979873387482,0.8240740740740741,0.0752418041229248,success,,openml,True,77,0,1.6786916786916788
146800,40966,MiceProtein,class,KNN,1080.0,77.0,8.0,0.9583333333333334,0.9601851851851853,0.9586634670743648,0.9618654214559388,0.9583333333333334,1.8702094554901123,success,,openml,True,77,0,1.6786916786916788
146800,40966,MiceProtein,class,LogisticRegression,1080.0,77.0,8.0,0.9861111111111112,0.9861111111111112,0.98601149554985,0.9865911418330772,0.9861111111111112,0.0613524913787841,success,,openml,True,77,0,1.6786916786916788
146800,40966,MiceProtein,class,RandomForest,1080.0,77.0,8.0,0.9907407407407408,0.9907407407407408,0.9907350127733672,0.9908900836320192,0.9907407407407408,0.54984450340271,success,,openml,True,77,0,1.6786916786916788
146800,40966,MiceProtein,class,SVM,1080.0,77.0,8.0,0.9953703703703703,0.9958333333333332,0.9953732237630544,0.9955357142857144,0.9953703703703703,0.2897882461547851,success,,openml,True,77,0,1.6786916786916788
146800,40966,MiceProtein,class,XGBoost,1080.0,77.0,8.0,0.9907407407407408,0.9907407407407408,0.990733424564232,0.991055427547363,0.9907407407407408,4.136234998703003,success,,openml,True,77,0,1.6786916786916788
146817,40982,steel-plates-fault,target,DecisionTree,1941.0,27.0,7.0,0.7455012853470437,0.7642391593832697,0.7452432507006058,0.7491648732396176,0.7455012853470437,0.0571746826171875,success,,openml,True,27,0,0.0
146817,40982,steel-plates-fault,target,KNN,1941.0,27.0,7.0,0.7275064267352185,0.7482091680713233,0.7244835113978932,0.7317968164311986,0.7275064267352185,0.0409047603607177,success,,openml,True,27,0,0.0
146817,40982,steel-plates-fault,target,LogisticRegression,1941.0,27.0,7.0,0.7275064267352185,0.7305280431533564,0.7276535791762936,0.732903122830645,0.7275064267352185,0.1274909973144531,success,,openml,True,27,0,0.0
146817,40982,steel-plates-fault,target,RandomForest,1941.0,27.0,7.0,0.8046272493573264,0.7877851379104512,0.8045673969726881,0.8118437448313433,0.8046272493573264,0.6014611721038818,success,,openml,True,27,0,0.0
146817,40982,steel-plates-fault,target,SVM,1941.0,27.0,7.0,0.7506426735218509,0.7389512557432356,0.7517110687963787,0.7577566877822138,0.7506426735218509,0.508115291595459,success,,openml,True,27,0,0.0
146817,40982,steel-plates-fault,target,XGBoost,1941.0,27.0,7.0,0.8097686375321337,0.8028894049884023,0.8118698789463588,0.817407029380335,0.8097686375321337,1.354717254638672,success,,openml,True,27,0,0.0
146820,40983,wilt,class,DecisionTree,4839.0,5.0,2.0,0.975206611570248,0.868995633187773,0.9749770578851692,0.9747813248348006,0.975206611570248,0.0275967121124267,success,,openml,True,5,0,0.0
146820,40983,wilt,class,KNN,4839.0,5.0,2.0,0.9648760330578512,0.7002855223379241,0.9586702025658654,0.9622102185179996,0.9648760330578512,0.0367469787597656,success,,openml,True,5,0,0.0
146820,40983,wilt,class,LogisticRegression,4839.0,5.0,2.0,0.9617768595041324,0.6714393684917702,0.9539790004532728,0.9583516704088844,0.9617768595041324,0.0300617218017578,success,,openml,True,5,0,0.0
146820,40983,wilt,class,RandomForest,4839.0,5.0,2.0,0.9824380165289256,0.8637470607994625,0.9814518142120564,0.9817781500450004,0.9824380165289256,0.4932866096496582,success,,openml,True,5,0,0.0
146820,40983,wilt,class,SVM,4839.0,5.0,2.0,0.9793388429752066,0.816761840779308,0.977277142604838,0.9791702017136868,0.9793388429752066,0.3837077617645263,success,,openml,True,5,0,0.0
146820,40983,wilt,class,XGBoost,4839.0,5.0,2.0,0.981404958677686,0.8722707423580787,0.9806705892921308,0.9805820900862224,0.981404958677686,0.2510359287261963,success,,openml,True,5,0,0.0
146819,40994,climate-model-simulation-crashes,outcome,DecisionTree,540.0,18.0,2.0,0.9166666666666666,0.6515151515151515,0.908955223880597,0.9044117647058824,0.9166666666666666,0.0179243087768554,success,,openml,True,18,0,0.0
146819,40994,climate-model-simulation-crashes,outcome,KNN,540.0,18.0,2.0,0.925925925925926,0.5555555555555556,0.8977346278317152,0.9314641744548284,0.925925925925926,0.0289196968078613,success,,openml,True,18,0,0.0
146819,40994,climate-model-simulation-crashes,outcome,LogisticRegression,540.0,18.0,2.0,0.9444444444444444,0.7171717171717171,0.937057991513437,0.9388349514563108,0.9444444444444444,0.0205550193786621,success,,openml,True,18,0,0.0
